title,Drama,Comedy,Horror,Film-Noir,Romance,Western,Adventure,Thriller,Fantasy,IMAX,Documentary,Children,Musical,Action,War,Mystery,Sci-Fi,Animation,Crime
Ultimate Avengers (2006),0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
Ice Age 2: The Meltdown (2006),0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
All Quiet on the Western Front (1979),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Big White, The (2005)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stromboli (1950),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyrano de Bergerac (1950),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shinobi: Heart Under Blade (2005),1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Every Man for Himself (Slow Motion) (Sauve qui peut (la vie)) (1980),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronos (1985),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Five Children and It (2004),0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Free Zone (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Naked Spur, The (1953)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prince & Me II: The Royal Wedding, The (2006)",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ask the Dust (2006),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V for Vendetta (2006),0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
She's the Man (2006),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thank You for Smoking (2006),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Find Me Guilty (2006),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Inside Man (2006),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Tsotsi (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aquamarine (2006),0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Illustrated Man, The (1969)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Leprechaun 2 (1994),0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Leprechaun 3 (1995),0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Leprechaun 4: In Space (1997),0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Leprechaun in the Hood (2000),0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Dark at the Top of the Stairs, The (1960)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Story of a Love Affair (Cronaca di un amore) (1950),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Man Who Sued God, The (2001)",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lights in the Dusk (Laitakaupungin valot) (2006),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kummeli Stories (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stranger on the Third Floor (1940),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hills Have Eyes, The (2006)",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Shaggy Dog, The (2006)",0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"Personal Journey with Martin Scorsese Through American Movies, A (1995)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Inspector Clouseau (1968),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Son of the Pink Panther (1993),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown White Male (2005),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Lives of Others, The (Das leben der Anderen) (2006)",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Red and the White, The (Csillagosok, katonák) (1967)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fatty Drives the Bus (1999),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City on Fire (Lung fu fong wan) (1987),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"Goodbye, South, Goodbye (Nan guo zai jian, nan guo) (1996)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nanook of the North (1922),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Don't Torture a Duckling (Non si sevizia un paperino) (1972),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Resurrection (1980),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Youth of the Beast (Yaju no seishun) (1963),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Go Tell the Spartans (1978),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
They Call Me Mister Tibbs! (1970),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Take the Lead (2006),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lacemaker, The (Dentellière, La) (1977)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devil and Daniel Johnston, The (2005)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Money (L'argent) (1983),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Trial of Joan of Arc, The (Procès de Jeanne d'Arc) (1962)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mouchette (1967),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caiman, The (Il caimano) (2006)",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucky Number Slevin (2006),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Wild Blue Yonder, The (2005)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wheel of Time (2003),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Riot On! (2004),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Volver (2006),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N Word, The (2004)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Akeelah and the Bee (2006),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lisbela e o Prisioneiro (Lisbela and the Prisoner) (2003),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brainstorm (Bicho de Sete Cabeças) (2001),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urban Legends: Bloody Mary (2005),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Larry the Cable Guy: Health Inspector (2006),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stay Alive (2006),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Annie Oakley (1935),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Basic Instinct 2 (2006),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Brick (2005),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Brothers Lionheart, The (Bröderna Lejonhjärta) (1977)",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"Dead Hate the Living!, The (2000)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evil Aliens (2005),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Santa's Slay (2005),0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dark Hours, The (2005)",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
This Film Is Not Yet Rated (2006),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fragile (2005),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ATL (2006),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brotherhood of Justice, The (1986)",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Slither (2006),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Benchwarmers, The (2006)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phat Girlz (2006),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renaissance (2006),0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
Go for Zucker! (Alles auf Zucker!) (2004),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curse of the Werewolf, The (1961)",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Fish (2004),1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Friends with Money (2006),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"King Is Dancing, The (Le roi danse) (2000)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keane (2004),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Reefer Madness: The Movie Musical (2005),1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
I Love Your Work (2003),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Beauty and the Bastard (Tyttö sinä olet tähti) (2005),1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dementia (a.k.a. Daughter of Horror) (1955),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Magic (1978),1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Candy (2006),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secrets of a Soul (Geheimnisse einer Seele) (1926),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Child, The (L'enfant) (2005)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9/11 (2002),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lacombe Lucien (1974),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoot (2006),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Where the Red Fern Grows (1974),1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Scary Movie 4 (2006),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard Candy (2005),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dead Birds (2004),0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Chinoise, La (1967)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shutter (2004),0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"Prairie Home Companion, A (2006)",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Even Money (2006),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Chess Players, The (Shatranj Ke Khilari) (1977)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinocchio and the Emperor of the Night (1987),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Corvette Summer (1978),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sentinel, The (2006)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mirage (1965),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"President's Last Bang, The (Geuddae geusaramdeul) (2005)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Wild, The (2006)",0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
"My Brother's Wife (Mujer de mi hermano, La) (2005)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silent Hill (2006),0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Battle in Heaven (Batalla en el cielo) (2005),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Dreamz (2006),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hôtel du Nord (1938),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irresistible (2006),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mata Hari (1931),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23 (23 - Nichts ist so wie es scheint) (1998),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kinky Boots (2005),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glass Key, The (1942)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Protector, The (a.k.a. Warrior King) (Tom yum goong) (2005)",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Mission: Impossible III (2006),0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"Wayward Cloud, The (Tian bian yi duo yun) (2005)",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Nibelungen: Siegfried, Die (1924)",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Nibelungen: Kriemhild's Revenge, Die (Die Nibelungen: Kriemhilds Rache) (1924)",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Coast Guard, The (Hae anseon) (2002)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RV (2006),0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
United 93 (2006),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stick It (2006),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secret Beyond the Door (1948),1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Man Push Cart (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"World, The (Shijie) (2004)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soldier Blue (1970),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Footlight Parade (1933),0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lollilove (2004),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American Haunting, An (2005)",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Down in the Valley (2005),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hidden Blade, The (Kakushi ken oni no tsume) (2004)",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Over the Hedge (2006),0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Art School Confidential (2006),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poseidon (2006),0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
"Da Vinci Code, The (2006)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
X-Men: The Last Stand (2006),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"Break-Up, The (2006)",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peaceful Warrior (2006),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Twelve and Holding (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wah-Wah (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keeping Up with the Steins (2006),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cars (2006),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Wassup Rockers (2005),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lost City, The (2005)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing Still (2005),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlito's Way: Rise to Power (Carlito's Way 2: Rise to Power) (2005),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Conspirators of Pleasure (Spiklenci slasti) (1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tall in the Saddle (1944),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Beyond a Reasonable Doubt (1956),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sinbad of the Seven Seas (1989),0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Earth Is a Sinful Song, The (Maa on syntinen laulu) (1973)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shanghai Dreams (Qing hong) (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vera Cruz (1954),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Notorious Bettie Page, The (2005)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Russian Specialist, The (Mechanik, The) (2005)",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Parting Glances (1986),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Game 6 (2005),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Gun (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marilyn Hotchkiss' Ballroom Dancing & Charm School (2005),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On a Clear Day (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Omen, The (2006)",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"King, The (2005)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacho Libre (2006),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake House, The (2006)",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Click (2006),1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Seventh Victim, The (1943)",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bleak Moments (1972),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edvard Munch (1974),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ace of Hearts, The (1921)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Devil Wears Prada, The (2006)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest (2006),0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"You, Me and Dupree (2006)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerks II (2006),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lady in the Water (2006),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
My Super Ex-Girlfriend (2006),0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tammy and the Bachelor (1957),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lady on a Train (1945),0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"Nightmare Castle (Amanti d'oltretomba) (Lovers from Beyond the Tomb) (Faceless Monster, The) (1965)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let It Be (1970),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Farewell, Home Sweet Home (Adieu, plancher des vaches!) (1999)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
See No Evil (2006),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marie Antoinette (2006),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lady in the Lake (1947),1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Trial of the Road (Check-up on the Roads) (Checkpoint) (Proverka na dorogakh) (1971),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Who Killed the Electric Car? (2006),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Miracle of Bern, The (Wunder von Bern, Das) (2003)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mother and the Whore, The (Maman et la putain, La) (1973)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inconvenient Truth, An (2006)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Test Pilot (1938),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Career Opportunities (1991),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hollow Man II (2006),0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Chuck Berry Hail! Hail! Rock 'n' Roll (1987),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Psych-Out (1968),1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
National Lampoon's Cattle Call (Cattle Call) (2006),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sister Kenny (1946),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain Patrol (Kekexili) (2004),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
High School Musical (2006),1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Ice Bound (2003),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drawing Restraint 9 (2005),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Crossing the Bridge: The Sound of Istanbul (2005),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
I Am a Sex Addict (2005),0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lower City (Cidade Baixa) (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forever Mine (1999),1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"War Within, The (2005)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ax, The (couperet, Le) (2005)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adam & Steve (2005),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beyond the Rocks (1922),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob the Butler (2005),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Frost 2: Revenge of the Mutant Killer Snowman (2000),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoned (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marked Woman (1937),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Running (1979),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blessed Event (1932),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jet Li's Fearless (Huo Yuan Jia) (2006),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Susan Lenox (Her Fall and Rise) (1931),1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Adjuster, The (1991)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Garfield: A Tail of Two Kitties (2006),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Metal: A Headbanger's Journey (2005),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Summer in Berlin (Sommer vorm Balkon) (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Public Eye, The (1992)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Bribe, The (1949)",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Without Love (1945),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waist Deep (2006),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"Sheriff and the Satellite Kid, The (1979)",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Triple Cross (1966),1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Mouth to Mouth (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spite Marriage (1929),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superman Returns (2006),0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
Edward II (1991),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Road to Guantanamo, The (2006)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Leonard Cohen: I'm Your Man (2005),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Edmond (2005),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OH in Ohio, The (2006)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Miss Sunshine (2006),1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brothers of the Head (2005),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forgiving Dr. Mengele (2006),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fuse (Gori vatra) (2003),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curse of the Pink Panther (1983),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mimic: Sentinel (2003),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Rock 'n' Roll Nightmare (1987),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
These Girls (2005),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Why Does Herr R. Run Amok? (Warum läuft Herr R. Amok?) (1970),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Instrument (2003),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"300 Spartans, The (1962)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
